No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Status_Garam,Status_Gula
230,Lemonilo Chimi Keripik Ubi,Snack Asin,20.0,Gram,1.0,60.0,Lemonilo Chimi Keripik Ubi.jpg,Normal,Normal
231,Lemonilo Bronies Crispy Chocochips,Snack Manis,15.0,Gram,7.0,10.0,Lemonilo Bronies Crispy Chocochips.png,Normal,Tinggi
232,Kusuka Keripik Singkong Balado Pedas,Snack Asin,15.0,Gram,1.0,45.0,Kusuka Keripik Singkong Balado Pedas.jpg,Normal,Normal
233,Kopiko Sugar Free Coffe Candy,Snack Manis,6.0,Gram,0.0,5.0,Kopiko Sugar Free Coffe Candy.jpg,Normal,Normal
234,Kacang Koro Pedas Dua Kelinci,Snack Asin,25.0,Gram,2.0,180.0,Kacang Koro Pedas Dua Kelinci.png,Normal,Normal
235,Jack 'n Jill Piattos Potato Crisps Cheese,Snack Asin,30.0,Gram,2.0,170.0,Jack 'n Jill Piattos Potato Crisps Cheese.png,Normal,Normal
236,Ice Cream AICE Mochi Vanilla,Snack Manis,30.0,Gram,6.0,15.0,Ice Cream AICE Mochi Vanilla.png,Normal,Tinggi
237,Ice Cream AICE Mochi Klepon,Snack Manis,45.0,mL,6.0,10.0,Ice Cream AICE Mochi Klepon.png,Normal,Tinggi
238,Happy Tos Tortilla Chips,Snack Asin,28.0,Gram,0.0,135.0,Happy Tos Tortilla Chips.png,Normal,Normal
239,Fruit Tea Apel,Minuman Kemasan,250.0,mL,22.0,60.0,Fruit Tea Apel.jpg,Normal,Tinggi
240,East Cashew Yava Chocolate Vanilla,Snack Manis,20.0,Gram,1.0,125.0,East Cashew Yava Chocolate Vanilla.jpg,Normal,Normal
241,Chitato Keju Supreme,Snack Asin,20.0,Gram,1.0,80.0,Chitato Keju Supreme.jpg,Normal,Normal
242,Buavita Jeruk,Minuman Kemasan,250.0,mL,23.0,5.0,Buavita Jeruk.jpg,Normal,Tinggi
243,Biskuit Oreo Original,Snack Manis,27.5,Gram,11.0,140.0,Biskuit Oreo Original.jpg,Normal,Tinggi
244,Apollo Roka Wafer Ball,Snack Manis,30.0,Gram,10.0,5.0,Apollo Roka Wafer Ball.png,Normal,Tinggi
245,Tricks Kimchi,Snack Asin,12.0,Gram,2.0,60.0,,Normal,Normal
246,Oishi Popcorn Strawberry,Snack Manis,20.0,Gram,7.0,95.0,,Normal,Tinggi
247,Nissin Wallens Blueberry,Snack Manis,16.0,Gram,4.0,35.0,,Normal,Normal
248,Slai O'lai Nanas,Snack Manis,24.0,Gram,6.0,50.0,,Normal,Tinggi
249,Golda Coffe,Minuman Kemasan,200.0,mL,15.0,105.0,,Normal,Tinggi
250,Permen Hot Hot Ball Mangga,Snack Manis,7.0,Gram,5.0,10.0,,Normal,Normal
251,NoriGo Pedas,Snack Asin,2.5,Gram,1.0,35.0,,Normal,Normal
252,Fullo Vanilla Milk,Snack Manis,7.0,Gram,3.0,25.0,,Normal,Normal
253,Pocky Cokelat (Sachet),Snack Manis,10.0,Gram,3.0,20.0,,Normal,Normal
254,Biskuat Cokelat,Snack Manis,7.6,Gram,2.0,30.0,,Normal,Normal
255,Yupi Bolicious Blackberry,Snack Manis,5.0,Gram,3.0,0.0,,Normal,Normal
256,Yupi Burger Max,Snack Manis,9.0,Gram,5.0,5.0,,Normal,Normal
257,Lemonilo Brownies Crunchy Chocolate,Snack Manis,15.0,Gram,5.0,10.0,,Normal,Normal
258,Lemonilo Chimi Keripik Ubi Karamel Mentega,Snack Manis,20.0,Gram,1.0,55.0,,Normal,Normal
259,Lemonilo Chimi Keripik Ubi Jagung Bakar,Snack Asin,25.0,Gram,3.0,80.0,,Normal,Normal
260,Lemonilo Chimi Keripik Ubi Cheese Burger,Snack Asin,20.0,Gram,2.0,50.0,,Normal,Normal
261,Susu Tango Banana Pudding,Minuman Kemasan,125.0,mL,10.0,130.0,,Normal,Tinggi
262,Tango Wafer Vanilla Delight,Snack Manis,20.0,Gram,4.0,80.0,,Normal,Normal
263,Tao Kae Noi Crispy Seaweed Original,Snack Asin,4.0,Gram,0.0,20.0,,Normal,Normal
264,Best Wok Mie Goreng Black Pepper Seafood,Mie Instan,80.0,Gram,5.0,970.0,,Normal,Normal
265,Mama Suka Muffin Pisang,Snack Manis,20.0,Gram,10.0,90.0,,Normal,Tinggi
266,Mama Suka Gimbori Seaweed Original Flavour,Snack Asin,3.0,Gram,0.0,25.0,,Normal,Normal
267,Mama Suka Gimbori Seaweed SpicyFlavour,Snack Asin,3.0,Gram,0.0,40.0,,Normal,Normal
268,Frost Bite Es Krim Boba Milk Tea with Brown Sugar,Snack Manis,60.0,mL,13.0,35.0,,Normal,Tinggi
269,Frost Bite Es Krim Susu Cookies and Cream Mochi,Snack Manis,46.0,mL,8.0,20.0,,Normal,Tinggi
270,Frost Bite Es Krim Susu Choco Lava Mochi,Snack Manis,46.0,mL,10.0,25.0,,Normal,Tinggi
271,Frost Bite Es Krim Susu Strawberry Sakura Mochi,Snack Manis,46.0,mL,10.0,20.0,,Normal,Tinggi
272,Frost Bite Jcone Es Krim Black and Pink,Snack Manis,90.0,mL,14.0,25.0,,Normal,Tinggi
273,Frost Bite Jcone Es Krim Cookies and Cream,Snack Manis,80.0,mL,14.0,35.0,,Normal,Tinggi
274,Frost Bite Es Krim Cup Strawberry Vanilla,Snack Manis,90.0,mL,15.0,20.0,,Normal,Tinggi
275,Frost Bite Es Krim Cup Cookies and Cream,Snack Manis,30.0,mL,10.0,55.0,,Normal,Tinggi
276,Indomie Hype Abis Mie Nyemek Rendang Jogja,Mie Instan,84.0,Gram,8.0,1030.0,,Normal,Tinggi
277,Khong Guan Cream Wafer Coconut,Snack Manis,25.0,Gram,8.0,20.0,,Normal,Tinggi
278,Khong Guan Saltcheese Combociz,Snack Manis,17.0,Gram,5.0,55.0,,Normal,Normal
279,Obuchi Popcorn Carammel,Snack Manis,28.0,Gram,3.0,15.0,,Normal,Normal
280,Lokalate Kopi Berondong Popcorn Latte,Minuman Kemasan,185.0,mL,6.0,55.0,,Normal,Tinggi
281,Diamond Milk Bubble Gum,Minuman Kemasan,125.0,mL,11.0,80.0,,Normal,Tinggi
283,"Milna Nature Delight Fruit Puree Banana, Strawberry, Apple",Snack Manis,80.0,Gram,12.0,5.0,,Normal,Tinggi
284,Milna Rice Crackers Sweet Potato Carrot,Snack Manis,20.0,Gram,3.0,50.0,,Normal,Normal
285,Milna Biskuit Bayi Pisang,Snack Manis,22.0,Gram,5.0,5.0,,Normal,Normal
287,Heavenly Blush Yogurto Dorinku Peach,Minuman Kemasan,125.0,mL,12.0,80.0,,Normal,Tinggi
288,Heavenly Blush Yogurto Dorinku Blackcurrant,Minuman Kemasan,125.0,mL,13.0,75.0,,Normal,Tinggi
289,Lotte Koala March Cokelat,Snack Manis,37.0,Gram,12.0,75.0,,Normal,Tinggi
290,Lotte Choco Pie Marshmallow Strawberry,Snack Manis,25.0,Gram,6.0,60.0,,Normal,Tinggi
291,Lotte Toppo Vanilla Chocolate,Snack Manis,40.0,Gram,10.0,115.0,,Normal,Tinggi
292,Lotte Koala's March Krim Stoberi,Snack Manis,37.0,Gram,11.0,79.0,,Normal,Tinggi
293,Nissin Ramen Yakisoba Takoyaki,Mie Instan,27.5,,4.0,910.0,,Normal,Normal
294,Fitbar Fruits Delight,Snack Manis,27.5,Gram,6.0,25.0,,Normal,Tinggi
295,Energen Champion Twin Pack,Minuman Seduh,35.0,Gram,21.0,90.0,,Normal,Tinggi
296,Teajus Gula Batu,Minuman Seduh,6.0,Gram,5.0,0.0,,Normal,Normal
